epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,347.175,0.85875,3.47333,1.19908,0.20145,0.39677,0.2457,0.19093,0.82101,3.3845,1.16286,0.000174837,0.000174837,0.000174837
2,735.311,0.76927,2.596,1.11209,0.30656,0.40756,0.32758,0.25732,0.76035,2.81154,1.10226,0.000338614,0.000338614,0.000338614
3,1168.6,0.76602,2.23345,1.09802,0.4235,0.53577,0.46051,0.37633,0.75112,2.26981,1.0777,0.00049082,0.00049082,0.00049082
4,1562.81,0.75002,1.9477,1.08807,0.56562,0.58126,0.57315,0.47749,0.73046,1.78473,1.0535,0.000473926,0.000473926,0.000473926
5,1958.4,0.72068,1.6726,1.059,0.74912,0.57828,0.66436,0.54036,0.77733,1.54311,1.10489,0.000456568,0.000456568,0.000456568
6,2380.37,0.694,1.48517,1.04607,0.73083,0.73311,0.79109,0.66433,0.71368,1.22051,1.04231,0.00043921,0.00043921,0.00043921
7,2800.89,0.67953,1.32255,1.04292,0.76409,0.72871,0.80164,0.6754,0.68843,1.02944,1.02231,0.000421852,0.000421852,0.000421852
8,3244.07,0.68295,1.19592,1.03621,0.81376,0.75855,0.83208,0.6924,0.68608,0.97655,1.02219,0.000404494,0.000404494,0.000404494
9,3672,0.64943,1.13044,1.02672,0.90683,0.76078,0.86357,0.72683,0.67561,0.83136,1.02467,0.000387136,0.000387136,0.000387136
10,4103.63,0.65406,1.06928,1.02438,0.91693,0.77534,0.87683,0.74278,0.6462,0.79009,1.0094,0.000369778,0.000369778,0.000369778
11,4551.1,0.64541,1.00802,1.01748,0.88738,0.81291,0.89253,0.75817,0.6494,0.73298,0.98477,0.00035242,0.00035242,0.00035242
12,5002.56,0.61872,0.97302,1.00655,0.90688,0.81768,0.89157,0.74515,0.66454,0.7091,1.00934,0.000335062,0.000335062,0.000335062
13,5477.46,0.61917,0.91955,0.99987,0.94514,0.82028,0.91444,0.7776,0.63601,0.64762,0.98552,0.000317704,0.000317704,0.000317704
14,5937.18,0.61353,0.90245,1.00044,0.92049,0.83328,0.91206,0.76615,0.6632,0.65244,0.99054,0.000300346,0.000300346,0.000300346
15,6399.99,0.61507,0.87351,1.00189,0.9294,0.83581,0.91031,0.77837,0.61885,0.60358,0.9695,0.000282988,0.000282988,0.000282988
16,6859.23,0.59543,0.8364,0.99365,0.94696,0.82916,0.91676,0.77347,0.64666,0.56991,0.98218,0.00026563,0.00026563,0.00026563
17,7359.26,0.58935,0.80523,0.99308,0.94415,0.83329,0.92755,0.79137,0.60845,0.56295,0.96614,0.000248272,0.000248272,0.000248272
18,7844.59,0.58927,0.80974,0.99295,0.93711,0.83588,0.9208,0.78533,0.61673,0.55404,0.96886,0.000230914,0.000230914,0.000230914
19,8392.3,0.57756,0.77085,0.98153,0.95979,0.85472,0.93449,0.79847,0.60251,0.51058,0.96005,0.000213556,0.000213556,0.000213556
20,8942.01,0.57194,0.74369,0.97887,0.94967,0.85916,0.93416,0.8011,0.60686,0.51337,0.96024,0.000196198,0.000196198,0.000196198
21,9573.65,0.57071,0.52929,0.94326,0.93418,0.8652,0.93299,0.79765,0.60505,0.51554,0.95794,0.00017884,0.00017884,0.00017884
22,10136.8,0.56497,0.51074,0.94805,0.93614,0.85266,0.93691,0.79353,0.60932,0.50015,0.96231,0.000161482,0.000161482,0.000161482
23,10689.5,0.5556,0.49215,0.93563,0.95003,0.86135,0.93924,0.80417,0.59833,0.47976,0.95088,0.000144124,0.000144124,0.000144124
24,11241.2,0.54726,0.47755,0.93723,0.95136,0.86274,0.94419,0.80556,0.60044,0.47529,0.95478,0.000126766,0.000126766,0.000126766
25,11791,0.54359,0.45916,0.93082,0.93658,0.87882,0.94478,0.81198,0.59468,0.45655,0.95211,0.000109408,0.000109408,0.000109408
26,12346.4,0.5336,0.4409,0.92032,0.94736,0.88122,0.94896,0.81535,0.58953,0.43374,0.94657,9.205e-05,9.205e-05,9.205e-05
27,12921.8,0.52875,0.42485,0.91639,0.97465,0.86813,0.9516,0.82006,0.58558,0.41765,0.94551,7.4692e-05,7.4692e-05,7.4692e-05
28,13488.9,0.51829,0.40699,0.91905,0.95725,0.87547,0.95117,0.82134,0.58143,0.41384,0.94343,5.7334e-05,5.7334e-05,5.7334e-05
29,14071.7,0.51316,0.40286,0.91368,0.95662,0.87584,0.9544,0.8217,0.57287,0.40862,0.93938,3.9976e-05,3.9976e-05,3.9976e-05
30,14652.2,0.50709,0.39556,0.90898,0.96189,0.87559,0.95697,0.82197,0.57328,0.40429,0.93996,2.2618e-05,2.2618e-05,2.2618e-05
